Cancer Type,Body System,Male or Female,Year,Total Deaths
Liver cancer,Digestive,N/A,01/01/2019,724
Kidney cancer,Renal,N/A,01/01/2019,172
Lip and oral cavity cancer,Digestive,N/A,01/01/2019,887
"Tracheal, bronchus, and lung cancer",Respiratory,N/A,01/01/2019,1282
Larynx cancer,Respiratory,N/A,01/01/2019,326
Gallbladder and biliary tract cancer,Digestive,N/A,01/01/2019,292
Malignant skin melanoma,Skin,N/A,01/01/2019,134
Leukemia,Circulatory,N/A,01/01/2019,800
Hodgkin lymphoma,Circulatory,N/A,01/01/2019,164
Multiple myeloma,Circulatory,N/A,01/01/2019,307
Other neoplasms,Circulatory,N/A,01/01/2019,68
Breast cancer,Reproductive,Male&Female,01/01/2019,2321
Prostate cancer,Reproductive,Male,01/01/2019,1887
Thyroid cancer,Endocrine,N/A,01/01/2019,71
Stomach cancer,Digestive,N/A,01/01/2019,2026
 Bladder cancer,Renal,N/A,01/01/2019,289
Uterine cancer,Reproductive,Female,01/01/2019,157
Ovarian cancer,Reproductive,Female,01/01/2019,591
Cervical cancer,Reproductive,Female,01/01/2019,1725
Brain and central nervous system cancer,Neuronal,N/A,01/01/2019,530
Non-Hodgkin lymphoma,Circulatory,N/A,01/01/2019,902
Pancreatic cancer,Digestive,N/A,01/01/2019,696
Esophageal cancer,Digestive,N/A,01/01/2019,2831
Testicular cancer,Reproductive,Male,01/01/2019,13
Nasopharynx cance,Respiratory,N/A,01/01/2019,469
Other pharynx cancer,Respiratory,N/A,01/01/2019,228
Colon and rectum cancer,Digestive,N/A,01/01/2019,1628
Non-melanoma skin cancer,Skin,N/A,01/01/2019,112
Mesothelioma,Other,N/A,01/01/2019,56
Liver cancer,Digestive,N/A,01/01/2018,700
Kidney cancer,Renal,N/A,01/01/2018,163
Lip and oral cavity cancer,Digestive,N/A,01/01/2018,851
"Tracheal, bronchus, and lung cancer",Respiratory,N/A,01/01/2018,1219
Larynx cancer,Respiratory,N/A,01/01/2018,313
Gallbladder and biliary tract cancer,Digestive,N/A,01/01/2018,280
Malignant skin melanoma,Skin,N/A,01/01/2018,128
Leukemia,Circulatory,N/A,01/01/2018,787
Hodgkin lymphoma,Circulatory,N/A,01/01/2018,162
Multiple myeloma,Circulatory,N/A,01/01/2018,293
Other neoplasms,Circulatory,N/A,01/01/2018,64
Breast cancer,Reproductive,Male&Female,01/01/2018,2213
Prostate cancer,Reproductive,Male,01/01/2018,1787
Thyroid cancer,Endocrine,N/A,01/01/2018,69
Stomach cancer,Digestive,N/A,01/01/2018,1965
 Bladder cancer,Renal,N/A,01/01/2018,276
Uterine cancer,Reproductive,Female,01/01/2018,151
Ovarian cancer,Reproductive,Female,01/01/2018,561
Cervical cancer,Reproductive,Female,01/01/2018,1669
Brain and central nervous system cancer,Neuronal,N/A,01/01/2018,515
Non-Hodgkin lymphoma,Circulatory,N/A,01/01/2018,867
Pancreatic cancer,Digestive,N/A,01/01/2018,654
Esophageal cancer,Digestive,N/A,01/01/2018,2718
Testicular cancer,Reproductive,Male,01/01/2018,13
Nasopharynx cance,Respiratory,N/A,01/01/2018,453
Other pharynx cancer,Respiratory,N/A,01/01/2018,218
Colon and rectum cancer,Digestive,N/A,01/01/2018,1548
Non-melanoma skin cancer,Skin,N/A,01/01/2018,107
Mesothelioma,Other,N/A,01/01/2018,54
Liver cancer,Digestive,N/A,01/01/2017,677
Kidney cancer,Renal,N/A,01/01/2017,155
Lip and oral cavity cancer,Digestive,N/A,01/01/2017,815
"Tracheal, bronchus, and lung cancer",Respiratory,N/A,01/01/2017,1159
Larynx cancer,Respiratory,N/A,01/01/2017,302
Gallbladder and biliary tract cancer,Digestive,N/A,01/01/2017,269
Malignant skin melanoma,Skin,N/A,01/01/2017,123
Leukemia,Circulatory,N/A,01/01/2017,775
Hodgkin lymphoma,Circulatory,N/A,01/01/2017,160
Multiple myeloma,Circulatory,N/A,01/01/2017,279
Other neoplasms,Circulatory,N/A,01/01/2017,61
Breast cancer,Reproductive,Male&Female,01/01/2017,2097
Prostate cancer,Reproductive,Male,01/01/2017,1687
Thyroid cancer,Endocrine,N/A,01/01/2017,66
Stomach cancer,Digestive,N/A,01/01/2017,1907
 Bladder cancer,Renal,N/A,01/01/2017,263
Uterine cancer,Reproductive,Female,01/01/2017,144
Ovarian cancer,Reproductive,Female,01/01/2017,528
Cervical cancer,Reproductive,Female,01/01/2017,1614
Brain and central nervous system cancer,Neuronal,N/A,01/01/2017,501
Non-Hodgkin lymphoma,Circulatory,N/A,01/01/2017,831
Pancreatic cancer,Digestive,N/A,01/01/2017,611
Esophageal cancer,Digestive,N/A,01/01/2017,2605
Testicular cancer,Reproductive,Male,01/01/2017,12
Nasopharynx cance,Respiratory,N/A,01/01/2017,437
Other pharynx cancer,Respiratory,N/A,01/01/2017,208
Colon and rectum cancer,Digestive,N/A,01/01/2017,1469
Non-melanoma skin cancer,Skin,N/A,01/01/2017,101
Mesothelioma,Other,N/A,01/01/2017,51
Liver cancer,Digestive,N/A,01/01/2016,659
Kidney cancer,Renal,N/A,01/01/2016,148
Lip and oral cavity cancer,Digestive,N/A,01/01/2016,787
"Tracheal, bronchus, and lung cancer",Respiratory,N/A,01/01/2016,1112
Larynx cancer,Respiratory,N/A,01/01/2016,293
Gallbladder and biliary tract cancer,Digestive,N/A,01/01/2016,260
Malignant skin melanoma,Skin,N/A,01/01/2016,119
Leukemia,Circulatory,N/A,01/01/2016,759
Hodgkin lymphoma,Circulatory,N/A,01/01/2016,158
Multiple myeloma,Circulatory,N/A,01/01/2016,268
Other neoplasms,Circulatory,N/A,01/01/2016,58
Breast cancer,Reproductive,Male&Female,01/01/2016,2004
Prostate cancer,Reproductive,Male,01/01/2016,1608
Thyroid cancer,Endocrine,N/A,01/01/2016,64
Stomach cancer,Digestive,N/A,01/01/2016,1860
 Bladder cancer,Renal,N/A,01/01/2016,253
Uterine cancer,Reproductive,Female,01/01/2016,138
Ovarian cancer,Reproductive,Female,01/01/2016,498
Cervical cancer,Reproductive,Female,01/01/2016,1578
Brain and central nervous system cancer,Neuronal,N/A,01/01/2016,485
